415,0.023438,-0.046875,-0.22656
416,0.0625,0.078125,0.4375
417,-0.13281,-0.0078125,-0.078125
418,0.10938,0.0,0.070313
419,-0.125,0.0078125,0.023438
420,-0.17188,-0.10156,-0.53906
421,-0.13281,0.023438,0.10938
422,-0.11719,0.11719,0.42969
423,-0.054688,-0.078125,0.22656
424,0.10156,0.03125,0.023438
425,0.015625,0.0,-0.13281
426,-0.125,-0.0625,-0.60938
427,0.078125,0.070313,0.3125
428,-0.10156,-0.046875,-0.22656
429,0.21875,0.0625,0.40625
430,0.070313,0.023438,0.078125
431,-0.0625,0.0078125,-0.054688
432,-0.125,-0.070313,-0.25
433,0.015625,0.0,-0.085938
434,0.0625,-0.0078125,0.070313
435,-0.054688,-0.03125,-0.32813
436,0.054688,0.015625,0.46875
437,0.0625,0.015625,-0.125
438,-0.11719,-0.078125,-0.28125
439,0.30469,0.0625,0.44531
440,-0.10156,0.023438,-0.24219
441,-0.054688,-0.0625,-0.054688
442,0.046875,-0.03125,0.10938
443,-0.046875,0.10156,0.17188
444,-0.046875,-0.046875,-0.25781
445,0.078125,0.070313,-0.13281
446,0.070313,-0.023438,0.22656
447,-0.13281,-0.17969,-0.25781
448,0.0,0.0078125,0.22656
449,0.015625,0.0078125,-0.125
450,-0.039063,0.0,-0.09375
451,0.14844,-0.023438,-0.5
452,-0.19531,0.125,0.8125
453,-0.054688,-0.38281,-0.5
454,-0.03125,0.023438,0.0078125
455,0.0,-0.015625,0.17188
456,-0.039063,-0.015625,0.0
457,0.0078125,0.039063,0.20313
458,-0.10156,0.0,0.070313
459,-0.10156,0.0625,-0.46875
460,0.10156,-0.046875,0.03125
461,0.023438,0.015625,-0.375
462,0.015625,-0.10938,-0.21094
463,-0.10156,-0.046875,0.046875
464,0.039063,0.30469,-0.13281
465,0.0625,-0.25,0.17969
466,0.09375,-0.03125,-0.24219
467,-0.039063,0.0,0.24219
468,-0.015625,0.085938,0.51563
469,-0.078125,-0.085938,0.0625
470,0.015625,0.19531,-0.14063
471,-0.015625,0.25781,-0.15625
472,-0.039063,-0.375,-0.83594
473,0.10156,0.039063,-0.28906
474,0.015625,-0.085938,0.28906
475,-0.070313,0.09375,0.25
476,0.19531,-0.42969,-0.3125
477,0.0078125,0.64063,0.16406
478,-0.078125,-0.03125,0.67188
479,0.039063,-0.015625,0.17969
480,0.09375,-0.039063,0.625
481,0.0625,-0.0625,-0.54688
482,-0.03125,-0.17969,0.03125
483,0.11719,0.24219,0.48438
484,-0.1875,0.39063,-0.10156
485,-0.14063,-0.23438,0.21875
486,0.21094,0.60156,0.14844
487,-0.14844,-0.66406,0.16406
488,0.10938,0.48438,0.82813
489,-0.023438,0.25781,-0.45313
490,-0.03125,-0.4375,-0.5
491,0.10938,-0.42188,0.42188
492,-0.015625,0.50781,-0.82813
493,-0.039063,-0.21875,0.054688
494,-0.015625,-0.015625,0.0625
